timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code
2026-06-28 15:43:34.451305,VIN-100001,2100,90,NONE
2026-06-28 15:43:34.451319,VIN-100002,2100,90,NONE
2026-06-28 15:43:34.451322,VIN-100003,2100,90,NONE
2026-06-28 15:43:34.451325,VIN-100004,2100,90,NONE
2026-06-28 15:43:34.451327,VIN-100005,2100,90,NONE
2026-06-28 15:43:34.451337,VIN-100006,2100,90,NONE
2026-06-28 15:43:34.451342,VIN-100007,2100,90,NONE
2026-06-28 15:43:34.451348,VIN-100008,2100,90,NONE
2026-06-28 15:43:34.451351,VIN-100009,2100,90,NONE
2026-06-28 15:43:34.451354,VIN-100010,2100,90,NONE
2026-06-28 15:43:34.451356,VIN-100011,2100,90,NONE
2026-06-28 15:43:34.451359,VIN-100012,2100,90,NONE
2026-06-28 15:43:34.451361,VIN-100013,2100,90,NONE
2026-06-28 15:43:34.451364,VIN-100014,2100,90,NONE
2026-06-28 15:43:34.451366,VIN-100015,2100,90,NONE
2026-06-28 15:43:34.451368,VIN-100016,2100,90,NONE
2026-06-28 15:43:34.451371,VIN-100017,2100,90,NONE
2026-06-28 15:43:34.451373,VIN-100018,2100,90,NONE
2026-06-28 15:43:34.451376,VIN-100019,2100,90,NONE
2026-06-28 15:43:34.451378,VIN-100020,2100,90,NONE
2026-06-28 15:43:34.451381,VIN-100021,2100,90,NONE
2026-06-28 15:43:34.451384,VIN-100022,2100,90,NONE
2026-06-28 15:43:34.451386,VIN-100023,2100,90,NONE
2026-06-28 15:43:34.451388,VIN-100024,2100,90,NONE
2026-06-28 15:43:34.451391,VIN-100025,2100,90,NONE
2026-06-28 15:43:34.451393,VIN-100026,2100,90,NONE
2026-06-28 15:43:34.451395,VIN-100027,2100,90,NONE
2026-06-28 15:43:34.451398,VIN-100028,2100,90,NONE
2026-06-28 15:43:34.451400,VIN-100029,2100,90,NONE
2026-06-28 15:43:34.451403,VIN-100030,2100,90,NONE
2026-06-28 15:43:34.451405,VIN-100031,2100,90,NONE
2026-06-28 15:43:34.451407,VIN-100032,2100,90,NONE
2026-06-28 15:43:34.451410,VIN-100033,2100,90,NONE
2026-06-28 15:43:34.451412,VIN-100034,2100,90,NONE
2026-06-28 15:43:34.451414,VIN-100035,2100,90,NONE
2026-06-28 15:43:34.451417,VIN-100036,2100,90,NONE
2026-06-28 15:43:34.451419,VIN-100037,2100,90,NONE
2026-06-28 15:43:34.451422,VIN-100038,2100,90,NONE
2026-06-28 15:43:34.451424,VIN-100039,2100,90,NONE
2026-06-28 15:43:34.451426,VIN-100040,2100,90,NONE
2026-06-28 15:43:34.451429,VIN-100041,2100,90,NONE
2026-06-28 15:43:34.451431,VIN-100042,2100,90,NONE
2026-06-28 15:43:34.451433,VIN-100043,2100,90,NONE
2026-06-28 15:43:34.451436,VIN-100044,2100,90,NONE
2026-06-28 15:43:34.451438,VIN-100045,2100,90,NONE
2026-06-28 15:43:34.451441,VIN-100046,2100,90,NONE
2026-06-28 15:43:34.451443,VIN-100047,2100,90,NONE
2026-06-28 15:43:34.451446,VIN-100048,2100,90,NONE
2026-06-28 15:43:34.451448,VIN-100049,2100,90,NONE
2026-06-28 15:43:34.451450,VIN-100050,2100,90,P0300
2026-06-28 15:43:34.451453,VIN-100051,2100,90,NONE
2026-06-28 15:43:34.451455,VIN-100052,2100,90,NONE
2026-06-28 15:43:34.451458,VIN-100053,2100,90,NONE
2026-06-28 15:43:34.451460,VIN-100054,2100,90,NONE
2026-06-28 15:43:34.451463,VIN-100055,2100,90,NONE
