timestamp,vehicle_id,engine_rpm,coolant_temp_c,fault_code
2026-06-28 16:31:58.754685,VIN-100001,2100,90,NONE
2026-06-28 16:31:58.754702,VIN-100002,2100,90,NONE
2026-06-28 16:31:58.754705,VIN-100003,2100,90,NONE
2026-06-28 16:31:58.754707,VIN-100004,2100,90,NONE
2026-06-28 16:31:58.754710,VIN-100005,2100,90,NONE
2026-06-28 16:31:58.754719,VIN-100006,2100,90,NONE
2026-06-28 16:31:58.754724,VIN-100007,2100,90,NONE
2026-06-28 16:31:58.754730,VIN-100008,2100,90,NONE
2026-06-28 16:31:58.754733,VIN-100009,2100,90,NONE
2026-06-28 16:31:58.754736,VIN-100010,2100,90,NONE
2026-06-28 16:31:58.754738,VIN-100011,2100,90,NONE
2026-06-28 16:31:58.754741,VIN-100012,2100,90,NONE
2026-06-28 16:31:58.754743,VIN-100013,2100,90,NONE
2026-06-28 16:31:58.754745,VIN-100014,2100,90,NONE
2026-06-28 16:31:58.754748,VIN-100015,2100,90,NONE
2026-06-28 16:31:58.754750,VIN-100016,2100,90,NONE
2026-06-28 16:31:58.754753,VIN-100017,2100,90,NONE
2026-06-28 16:31:58.754755,VIN-100018,2100,90,NONE
2026-06-28 16:31:58.754757,VIN-100019,2100,90,NONE
2026-06-28 16:31:58.754760,VIN-100020,2100,90,NONE
2026-06-28 16:31:58.754763,VIN-100021,2100,90,NONE
2026-06-28 16:31:58.754765,VIN-100022,2100,90,NONE
2026-06-28 16:31:58.754768,VIN-100023,2100,90,NONE
2026-06-28 16:31:58.754770,VIN-100024,2100,90,NONE
2026-06-28 16:31:58.754772,VIN-100025,2100,90,NONE
2026-06-28 16:31:58.754775,VIN-100026,2100,90,NONE
2026-06-28 16:31:58.754777,VIN-100027,2100,90,NONE
2026-06-28 16:31:58.754780,VIN-100028,2100,90,NONE
2026-06-28 16:31:58.754782,VIN-100029,2100,90,NONE
2026-06-28 16:31:58.754784,VIN-100030,2100,90,NONE
2026-06-28 16:31:58.754787,VIN-100031,2100,90,NONE
2026-06-28 16:31:58.754789,VIN-100032,2100,90,NONE
2026-06-28 16:31:58.754792,VIN-100033,2100,90,NONE
2026-06-28 16:31:58.754794,VIN-100034,2100,90,NONE
2026-06-28 16:31:58.754796,VIN-100035,2100,90,NONE
2026-06-28 16:31:58.754799,VIN-100036,2100,90,NONE
2026-06-28 16:31:58.754801,VIN-100037,2100,90,NONE
2026-06-28 16:31:58.754804,VIN-100038,2100,90,NONE
2026-06-28 16:31:58.754806,VIN-100039,2100,90,NONE
2026-06-28 16:31:58.754808,VIN-100040,2100,90,NONE
2026-06-28 16:31:58.754811,VIN-100041,2100,90,NONE
2026-06-28 16:31:58.754813,VIN-100042,2100,90,NONE
2026-06-28 16:31:58.754816,VIN-100043,2100,90,NONE
2026-06-28 16:31:58.754818,VIN-100044,2100,90,NONE
2026-06-28 16:31:58.754820,VIN-100045,2100,90,NONE
2026-06-28 16:31:58.754823,VIN-100046,2100,90,NONE
2026-06-28 16:31:58.754825,VIN-100047,2100,90,NONE
2026-06-28 16:31:58.754828,VIN-100048,2100,90,NONE
2026-06-28 16:31:58.754830,VIN-100049,2100,90,NONE
2026-06-28 16:31:58.754833,VIN-100050,2100,90,P0300
2026-06-28 16:31:58.754835,VIN-100051,2100,90,NONE
2026-06-28 16:31:58.754838,VIN-100052,2100,90,NONE
